编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1368,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotaotaoxiaodian51604537"，"点我对话"),taotaoxiaodian51604537,涛涛正品海外代购,,,,,https://shop193970045.taobao.com,,,32922.40,广东,秋冬女装,,4.79416,0.10%,4.83754,1.17%,4.86041分,11.62%,,,,,,,,,,
1369,上海广月贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozzir旗舰店"，"点我对话"),zzir旗舰店,zzir旗舰店,,,,,https://shop114634132.taobao.com,,,9569008.70,广东,秋冬女装,,4.96438分,71.99%,4.94147分,65.28%,4.94824分,67.56%,,,,,,,,,,
1370,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaorqyl20080304"，"点我对话"),rqyl20080304,韩国正品潮代购,,,,,https://shop57233315.taobao.com,,,67474.00,广东,秋冬女装,,4.98328分,91.84%,4.98916分,93.41%,4.98842分,92.68%,,,,,,,,,,
1371,临沂英朗商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao相公娘子旗舰店"，"点我对话"),相公娘子旗舰店,相公娘子旗舰店,,,,,https://shop111482797.taobao.com,,,3701542.00,广东,秋冬女装,,4.89135分,14.58%,4.86866分,22.09%,4.87067分,18.95%,,,,,,,,,,
1372,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao仙子依坊"，"点我对话"),仙子依坊,仙子依坊,,,,,https://shop104671224.taobao.com,,,23809.00,广东,秋冬女装,,4.9304分,66.05%,4.94872分,68.83%,4.92674分,53.66%,,,,,,,,,,
1373,上海法丝曼服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法丝曼服饰专营店"，"点我对话"),法丝曼服饰专营店,法丝曼服饰专营店,021-63241558,,,,https://shop106579054.taobao.com,,,1290431.20,广东,秋冬女装,,4.87669分,3.04%,4.83691分,3.27%,4.85123分,6.79%,,,,,,,,,,
1374,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao语燕卷帘飞"，"点我对话"),语燕卷帘飞,朗航行品牌店,,,,,https://shop100112483.taobao.com,,,2857.58,广东,秋冬女装,,4.65324分,-3.31%,4.71366分,-2.69%,4.73117分,-2.51%,,,,,,,,,,
1375,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冯焕平"，"点我对话"),冯焕平,玫恋衣装,,,,,https://shop65028743.taobao.com,,,1180.40,广东,秋冬女装,,4.84906分,26.33%,4.86792分,19.65%,4.92453分,52.22%,,,,,,,,,,
1376,上海甘德实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao甘德服饰专营店"，"点我对话"),甘德服饰专营店,甘德服饰专营店,,,,,https://shop106855741.taobao.com,,,0,广东,秋冬女装,,4.90431分,24.77%,4.86045分,17.22%,4.87161分,19.53%,,,,,,,,,,
1377,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao筱宋服饰"，"点我对话"),筱宋服饰,胖妹妹显瘦大码女装店,,,,,https://shop57207749.taobao.com,,,1103.70,广东,秋冬女装,,4.70159分,-1.95%,4.80317分,-0.67%,4.81587分,-0.54%,,,,,,,,,,
1378,泉州市丰泽区力天纸制品包装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoukknzz旗舰店"，"点我对话"),ukknzz旗舰店,ukknzz旗舰店,,,,,https://shop131222376.taobao.com,,,483667.68,广东,秋冬女装,,4.98033分,84.53%,4.98993分,94.03%,4.99664分,97.89%,,,,,,,,,,
1379,上海觉典服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芙瑞拉旗舰店"，"点我对话"),芙瑞拉旗舰店,芙瑞拉旗舰店,18657355557,,,,https://shop210477818.taobao.com,,,0,广东,秋冬女装,,4.95455分,64.26%,4.92979分,58.36%,4.9373分,60.71%,,,,,,,,,,
1380,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoniouniouba71"，"点我对话"),niouniouba71,花姐优选平价大码女装,,,,,https://shop36214007.taobao.com,,,814.00,广东,秋冬女装,,4.88182分,42.35%,4.88636分,30.92%,4.92273分,51.12%,,,,,,,,,,
1381,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao通灵女装"，"点我对话"),通灵女装,通灵女装,,,,,https://shop129390936.taobao.com,,,15692.00,广东,秋冬女装,,4.67407分,-2.52%,4.74815分,-1.81%,4.79259分,-1.02%,,,,,,,,,,
1382,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoharrychx321"，"点我对话"),harrychx321,橘子味代购,,,,,https://shop126390661.taobao.com,,,20931.00,广东,秋冬女装,,4.84479分,24.24%,4.88248分,28.51%,4.89579分,34.02%,,,,,,,,,,
1383,杭州本捷服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowesee服饰旗舰店"，"点我对话"),wesee服饰旗舰店,wesee服饰旗舰店,,,,,https://shop67598630.taobao.com,,,6674690.00,广东,秋冬女装,,4.88978分,13.33%,4.87606分,26.49%,4.88761分,29.58%,,,,,,,,,,
1384,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohhw719"，"点我对话"),hhw719,优依库工厂代购店,,,,,https://shop65973579.taobao.com,,,61211.00,广东,秋冬女装,,4.74131分,-1.12%,4.83398分,0.10%,4.84556分,2.22%,,,,,,,,,,
1385,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiaopenyu"，"点我对话"),xiaopenyu,美加乐服饰精品折扣店,,,,,https://shop116012607.taobao.com,,,3486.00,广东,秋冬女装,,4.56842分,-4.73%,4.62105分,-4.43%,4.6分,-5.00%,,,,,,,,,,
1386,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb6788721"，"点我对话"),tb6788721,YT衣塔服饰,13966788721,,,,https://shop106580218.taobao.com,,,61083.00,广东,秋冬女装,,4.75811分,-0.77%,4.82027分,0.32%,4.82703分,0.31%,,,,,,,,,,
1387,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漂亮妈妈服饰888"，"点我对话"),漂亮妈妈服饰888,漂亮妈妈服饰,,,,,https://shop569550659.taobao.com,,,110866.52,广东,秋冬女装,,4.80068分,2.71%,4.84761分,7.29%,4.85764分,9.87%,,,,,,,,,,
1388,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoliwenfeng88123"，"点我对话"),liwenfeng88123,老司机翻车现场,,,,,https://shop103846547.taobao.com,,,3004.00,广东,秋冬女装,,4.69048分,-2.18%,4.7619分,-1.52%,4.79365分,-1.00%,,,,,,,,,,
1389,石狮潜岳贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao涵夕旗舰店"，"点我对话"),涵夕旗舰店,涵夕旗舰店,,,,,https://shop411792467.taobao.com,,,630759.50,广东,秋冬女装,,4.97007分,76.46%,4.93878分,63.69%,4.94966分,68.46%,,,,,,,,,,
1390,上海官和贸易发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柯睐沃旗舰店"，"点我对话"),柯睐沃旗舰店,柯睐沃旗舰店,,,,,https://shop528527834.taobao.com,,,7116583.00,广东,秋冬女装,,4.90611分,26.17%,4.87512分,25.93%,4.88575分,28.41%,,,,,,,,,,
1391,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妈咪服饰18"，"点我对话"),妈咪服饰18,胖MM超大码女装批发商,,,,,https://shop104206411.taobao.com,,,158.00,广东,秋冬女装,,4.2069分,-12.26%,4.31034分,-10.86%,4.58621分,-5.28%,,,,,,,,,,
1392,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宜美加服饰企业店"，"点我对话"),宜美加服饰企业店,宜美加精品服饰,,,,,https://shop325094010.taobao.com,,,3868.00,广东,秋冬女装,,4.58333,-4.41%,4.58333,-5.21%,4.75分,-1.90%,,,,,,,,,,
1393,安徽格柔微实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao袖奈兹旗舰店"，"点我对话"),袖奈兹旗舰店,袖奈兹旗舰店,,,,,https://shop213007464.taobao.com,,,3640.80,广东,秋冬女装,,4.81453分,1.20%,4.77125分,1.25%,4.78516分,1.14%,,,,,,,,,,
1394,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolu5645419"，"点我对话"),lu5645419,俏佳人服饰冬暖,,,,,https://shop59018288.taobao.com,,,555087.00,广东,秋冬女装,,4.75054分,-0.93%,4.7961分,-0.81%,4.81996分,0.45%,,,,,,,,,,
1395,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚魅力688"，"点我对话"),时尚魅力688,好运钱多多,,,,,https://shop106500637.taobao.com,,,22000.00,广东,秋冬女装,,4.83636分,20.18%,4.90909分,44.74%,4.91818分,48.24%,,,,,,,,,,
1396,株洲新妤服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao抹茶童话旗舰店"，"点我对话"),抹茶童话旗舰店,抹茶童话旗舰店,,,,,https://shop335181061.taobao.com,,,265978.00,广东,秋冬女装,,4.92599分,41.81%,4.88216分,30.09%,4.89374分,33.40%,,,,,,,,,,
1397,苏州牡兰尼服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牡兰尼旗舰店"，"点我对话"),牡兰尼旗舰店,牡兰尼旗舰店,,,,,https://shop111750309.taobao.com,,,44366.87,广东,秋冬女装,,4.87319分,0%,4.80254分,0.60%,4.80435分,0.74%,,,,,,,,,,
1398,上海飘楚服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao浅妞服饰旗舰店"，"点我对话"),浅妞服饰旗舰店,浅妞服饰旗舰店,15988320490,,,,https://shop105662546.taobao.com,,,0,广东,秋冬女装,,4.94152分,54.02%,4.91645分,50.44%,4.92014分,49.95%,,,,,,,,,,
1399,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao寻找幸福_1907"，"点我对话"),寻找幸福_1907,孝敬妈爸,,,,,https://shop106539095.taobao.com,,,4012.00,广东,秋冬女装,,4.7323,-1.31%,4.80088,-0.72%,4.81858分,0.48%,,,,,,,,,,
1400,苏州胖之彩服饰贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao胖之彩旗舰店"，"点我对话"),胖之彩旗舰店,胖之彩旗舰店,,,,,https://shop285416350.taobao.com,,,620582.50,广东,秋冬女装,,4.85768分,0%,4.82972分,0%,4.85328分,8.05%,,,,,,,,,,
1401,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao健步运动专营店"，"点我对话"),健步运动专营店,上海大都市短裙,,,,,https://shop72270940.taobao.com,,,0,广东,秋冬女装,,4.74459分,-1.05%,4.8355分,0.00%,4.84416分,1.42%,,,,,,,,,,
1402,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb877981_2010"，"点我对话"),tb877981_2010,She 她,,,,,https://shop69908319.taobao.com,,,53574.00,广东,秋冬女装,,4.77579分,0.40%,4.83661分,0.60%,4.85092分,5.62%,,,,,,,,,,
1403,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芳芳靓店168"，"点我对话"),芳芳靓店168,华哥弟情 正品总店,,,,,https://shop103055845.taobao.com,,,33994.00,广东,秋冬女装,,4.89878分,50.63%,4.92147分,52.26%,4.93368分,58.05%,,,,,,,,,,
1404,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao夜会52"，"点我对话"),夜会52,夜会优优,,,,,https://shop142387128.taobao.com,,,38282.00,广东,秋冬女装,,4.7745分,0.43%,4.81209分,0.49%,4.84819分,3.89%,,,,,,,,,,
1405,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojje蒋"，"点我对话"),jje蒋,帅爸靓妈衣橱,,,,,https://shop67071756.taobao.com,,,23108.00,广东,秋冬女装,,4.84141分,22.59%,4.87225分,22.28%,4.87665分,21.91%,,,,,,,,,,
1406,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaookczxi"，"点我对话"),okczxi,妈妈爸爸服饰鞋服精品,,,,,https://shop108399997.taobao.com,,,1711.00,广东,秋冬女装,,4.66071分,-2.80%,4.75357分,-1.70%,4.80357分,-0.79%,,,,,,,,,,
1407,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaookhong1982"，"点我对话"),okhong1982,心度服饰城,,,,,https://shop61026966.taobao.com,,,4851.00,广东,秋冬女装,,4.63859分,-3.26%,4.69293分,-2.95%,4.71467分,-2.63%,,,,,,,,,,
1408,才丰服饰（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao飞扬故事旗舰店"，"点我对话"),飞扬故事旗舰店,飞扬故事旗舰店,,,,,https://shop105960064.taobao.com,,,6148399.20,广东,秋冬女装,,4.95766分,66.71%,4.86168分,17.96%,4.84474分,2.72%,,,,,,,,,,
1409,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao方方郎白vcc"，"点我对话"),方方郎白vcc,刚刚过的去,,,,,https://shop118449808.taobao.com,,,654.11,广东,秋冬女装,,4.74839分,-1.35%,4.76344分,-1.68%,4.77419分,-1.55%,,,,,,,,,,
1410,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshirleygfgg620"，"点我对话"),shirleygfgg620,情有独钟时尚精品屋,,,,,https://shop35350591.taobao.com,,,6018.00,广东,秋冬女装,,4.94277分,72.08%,4.96358分,77.86%,4.95421分,71.04%,,,,,,,,,,
1411,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao张磊450504424"，"点我对话"),张磊450504424,爱名品品牌折扣女装,,,18049985816,,https://shop66391062.taobao.com,,,458.90,广东,秋冬女装,,4.82667分,15.45%,4.93333分,59.47%,4.97333分,83.13%,,,,,,,,,,
1412,好莱购投资（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恒源祥好莱购专卖店"，"点我对话"),恒源祥好莱购专卖店,恒源祥好莱购专卖店,,,,,https://shop104988354.taobao.com,,,0,广东,秋冬女装,,4.89508分,17.51%,4.87627分,26.60%,4.87518分,21.77%,,,,,,,,,,
1413,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魅力夫人01"，"点我对话"),魅力夫人01,魅力夫人时尚妈妈装,,,,,https://shop103537747.taobao.com,,,43163.40,广东,秋冬女装,,4.80681分,5.77%,4.84938分,8.44%,4.85976分,11.29%,,,,,,,,,,
1414,摩酷时装（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomurua官方旗舰店"，"点我对话"),murua官方旗舰店,murua官方旗舰店,,,,,https://shop165669937.taobao.com,,,9000065.00,广东,秋冬女装,,4.90665分,26.61%,4.84335分,7.07%,4.9019分,38.52%,,,,,,,,,,
1415,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺惜服饰店"，"点我对话"),诺惜服饰店,诺惜服饰店,,,,,https://shop119071268.taobao.com,,,449.00,广东,秋冬女装,,4.47368分,-6.70%,4.63158分,-4.22%,4.73684分,-2.17%,,,,,,,,,,
1416,泉州西美商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozplpkk旗舰店"，"点我对话"),zplpkk旗舰店,zplpkk旗舰店,,,,,https://shop129939043.taobao.com,,,437402.86,广东,秋冬女装,,4.99016分,92.26%,4.98355分,90.24%,4.97697分,85.57%,,,,,,,,,,
1417,上海凯一服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯迪米拉旗舰店"，"点我对话"),凯迪米拉旗舰店,凯迪米拉旗舰店,,,,,https://shop60915180.taobao.com,,,181012.00,广东,秋冬女装,,4.96141分,69.65%,4.91318分,48.51%,4.93891分,61.72%,,,,,,,,,,
1418,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俊丽3426"，"点我对话"),俊丽3426,聚鼎商城,,,,,https://shop222304999.taobao.com,,,1691.64,广东,秋冬女装,,4.71311,-2.08%,4.79742,-0.98%,4.77869分,-1.46%,,,,,,,,,,
1419,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhouhelp"，"点我对话"),zhouhelp,品尚团1号店,,021-33657601,13817799291,,https://shop33242191.taobao.com,,,0,广东,秋冬女装,,4.80148分,3.10%,4.84583分,6.21%,4.8663分,15.35%,,,,,,,,,,
1420,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao踩猫姑"，"点我对话"),踩猫姑,红猫服饰,,,,,https://shop70029415.taobao.com,,,39846.00,广东,秋冬女装,,4.96552分,83.17%,4.96552分,79.02%,4.93103分,56.33%,,,,,,,,,,
1421,上海爱贝纺织品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao多宝仕旗舰店"，"点我对话"),多宝仕旗舰店,多宝仕旗舰店,,,,,https://shop117421180.taobao.com,,,3519795.00,广东,秋冬女装,,4.93879分,51.88%,4.91729分,50.93%,4.933分,58.01%,,,,,,,,,,
1422,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobeastcissy"，"点我对话"),beastcissy,潮流元素之金牌夫人,13916452029,,,,https://shop100574832.taobao.com,,,0,广东,秋冬女装,,4.74952分,-0.95%,4.83939分,2.36%,4.8413分,0.10%,,,,,,,,,,
1423,上海晏利服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao花木深旗舰店"，"点我对话"),花木深旗舰店,花木深旗舰店,,,,,https://shop145624993.taobao.com,,,0,广东,秋冬女装,,4.93971分,52.59%,4.94233分,65.79%,4.94102分,63.05%,,,,,,,,,,
1424,泉州贝瑞颖贸易有限责任公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黎上旗舰店"，"点我对话"),黎上旗舰店,黎上旗舰店,,,,,https://shop165862121.taobao.com,,,1314558.00,广东,秋冬女装,,4.94175分,54.20%,4.93506分,61.48%,4.94156分,63.37%,,,,,,,,,,
1425,成都兜兜家商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobolsetto旗舰店"，"点我对话"),bolsetto旗舰店,bolsetto旗舰店,,,,,https://shop257601846.taobao.com,,,347031.00,广东,秋冬女装,,4.95869分,67.52%,4.94937分,69.96%,4.9547分,71.61%,,,,,,,,,,
1426,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao品牌女装服饰店88"，"点我对话"),品牌女装服饰店88,品牌女装服饰店88,,,,,https://shop517434683.taobao.com,,,39878.00,广东,秋冬女装,,4.85689分,30.19%,4.93194分,58.63%,4.92147分,50.33%,,,,,,,,,,
1427,泉州市丰泽区力天纸制品包装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao玛狄乐旗舰店"，"点我对话"),玛狄乐旗舰店,玛狄乐旗舰店,,,,,https://shop116852003.taobao.com,,,841079.76,广东,秋冬女装,,4.95分,60.69%,4.96154分,77.18%,4.96923分,80.72%,,,,,,,,,,
1428,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_9189185"，"点我对话"),tb_9189185,格桑印象,,13359189185,,,https://shop68510474.taobao.com,,,127820.00,广东,秋冬女装,,4.92476分,63.28%,4.95146分,70.47%,4.96845分,80.03%,,,,,,,,,,
1429,台晟服饰（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocircle旗舰店"，"点我对话"),circle旗舰店,circle旗舰店,,,,,https://shop117243518.taobao.com,,,100929.00,广西,秋冬女装,,4.96951分,76.02%,4.93293分,60.22%,4.91768分,48.42%,,,,,,,,,,
1430,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocaoliyan1985"，"点我对话"),caoliyan1985,华丽时尚袜铺,,,,,https://shop60850418.taobao.com,,,12586.60,广西,秋冬女装,,4.68441分,-2.31%,4.7306分,-2.17%,4.76123分,-1.67%,,,,,,,,,,
1431,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯唯721"，"点我对话"),唯唯721,心月灵精品女装,,,,,https://shop67612462.taobao.com,,,796.00,广西,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
1432,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaow370796326"，"点我对话"),w370796326,福寿喜庆唐装,,,18052434686,,https://shop73361904.taobao.com,,,25406.00,广西,秋冬女装,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
1433,上海托捷信息技术有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲格朗维旗舰店"，"点我对话"),菲格朗维旗舰店,菲格朗维旗舰店,,,,,https://shop452190275.taobao.com,,,2531313.00,广西,秋冬女装,,4.95588分,65.31%,4.94485分,67.29%,4.9375分,60.84%,,,,,,,,,,
1434,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣娜时尚"，"点我对话"),衣娜时尚,胖mm女装专区,,,,,https://shop59496969.taobao.com,,,14684.00,广西,秋冬女装,,4.77582分,0.40%,4.85714分,13.16%,4.86593分,15.19%,,,,,,,,,,
1435,广州聚阁电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao豪美秀旗舰店"，"点我对话"),豪美秀旗舰店,豪美秀旗舰店,,,,,https://shop599383143.taobao.com,,,8045.52,广西,秋冬女装,,4.75796分,2.36%,4.64756分,3.81%,4.69214分,3.06%,,,,,,,,,,
1436,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妈咪衣时代"，"点我对话"),妈咪衣时代,靓歪歪妈妈装,,,,,https://shop123122442.taobao.com,,,1783.00,广西,秋冬女装,,4.67857分,-2.43%,4.75分,-1.77%,4.78571分,-1.16%,,,,,,,,,,
1437,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaom喵喵家"，"点我对话"),m喵喵家,喵喵的轻奢店,,,,,https://shop130363697.taobao.com,,,59648.00,广西,秋冬女装,,4.9895,94.88%,4.99213,95.22%,4.9895分,93.36%,,,,,,,,,,
1438,阜阳市美福工贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao简轩旗舰店"，"点我对话"),简轩旗舰店,简轩旗舰店,0558-2799016,,,,https://shop109717186.taobao.com,,,2776192.50,广西,秋冬女装,,4.90615分,26.21%,4.88156分,29.74%,4.89274分,32.78%,,,,,,,,,,
1439,深圳市纯壹贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao明谢旗舰店"，"点我对话"),明谢旗舰店,明谢旗舰店,,,,,https://shop108535005.taobao.com,,,35891.60,广西,秋冬女装,,4.80134分,1.47%,4.75223分,1.64%,4.76563分,1.54%,,,,,,,,,,
1440,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao清才初佳"，"点我对话"),清才初佳,佳清主题世界,,,,,https://shop332543256.taobao.com,,,745.63,广西,秋冬女装,,4.64286,-3.52%,4.71429,-2.68%,4.89286分,27.21%,,,,,,,,,,
1441,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赵利明_2009"，"点我对话"),赵利明_2009,1818工厂折扣店,,,,,https://shop57296624.taobao.com,,,2360.00,广西,秋冬女装,,4.8169分,10.69%,4.83099分,0.10%,4.80282分,-0.81%,,,,,,,,,,
1442,上海依睿电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧品莲旗舰店"，"点我对话"),欧品莲旗舰店,欧品莲旗舰店,,,,,https://shop112911099.taobao.com,,,0,广西,秋冬女装,,4.87943分,5.20%,4.75532分,1.58%,4.81915分,0%,,,,,,,,,,
1443,上海玛萨服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaooob旗舰店"，"点我对话"),aooob旗舰店,aooob旗舰店,,,,,https://shop61898090.taobao.com,,,6922848.00,广西,秋冬女装,,4.87859分,4.53%,4.88179分,29.89%,4.90735分,41.95%,,,,,,,,,,
1444,上海云织乎信息科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao织乎旗舰店"，"点我对话"),织乎旗舰店,织乎旗舰店,,,,,https://shop184729852.taobao.com,,,17370755.00,广西,秋冬女装,,4.87075分,0%,4.82993分,0%,4.87075分,19.02%,,,,,,,,,,
1445,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb4963838_2012"，"点我对话"),tb4963838_2012,小时代DuJiaLan网络品,,,,,https://shop108491478.taobao.com,,,12968.00,广西,秋冬女装,,4.64792分,-3.07%,4.73648分,-2.05%,4.76083分,-1.67%,,,,,,,,,,
1446,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李熙辰兔兔"，"点我对话"),李熙辰兔兔,胖小妞大码女装,,,,,https://shop110113354.taobao.com,,,1437.00,广西,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
1447,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaiya130169"，"点我对话"),aiya130169,鄂尔多斯市自营店,,,,,https://shop62800165.taobao.com,,,101900.00,广西,秋冬女装,,4.89583分,49.19%,4.88542分,30.35%,4.88542分,27.52%,,,,,,,,,,
1448,杭州朝联贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔓朵恋旗舰店"，"点我对话"),蔓朵恋旗舰店,蔓朵恋旗舰店,,,,,https://shop517377811.taobao.com,,,7368.49,广西,秋冬女装,,4.85126分,0%,4.75515分,1.58%,4.78261分,1.19%,,,,,,,,,,
1449,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优雅精品服饰568"，"点我对话"),优雅精品服饰568,优雅精品服饰568,,,,,https://shop102689389.taobao.com,,,10554.00,广西,秋冬女装,,4.83721分,20.59%,4.86047分,15.18%,4.84884分,4.38%,,,,,,,,,,
1450,上海瑞妞服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞妞旗舰店"，"点我对话"),瑞妞旗舰店,瑞妞旗舰店,,,,,https://shop193666747.taobao.com,,,0,广西,秋冬女装,,4.96429分,71.92%,4.96429分,78.82%,4.92857分,55.24%,,,,,,,,,,
1451,裘格（上海）服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopinkmary旗舰店"，"点我对话"),pinkmary旗舰店,pinkmary旗舰店,,,,,https://shop116696702.taobao.com,,,364680.00,广西,秋冬女装,,4.9359分,49.60%,4.87607分,26.49%,4.9359分,59.84%,,,,,,,,,,
1452,杭州欣博服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao碧安佩斯旗舰店"，"点我对话"),碧安佩斯旗舰店,碧安佩斯旗舰店,,,,,https://shop277068383.taobao.com,,,366602.00,广西,秋冬女装,,4.91115分,30.13%,4.88772分,33.40%,4.88691分,29.14%,,,,,,,,,,
1453,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华哥弟情女装"，"点我对话"),华哥弟情女装,华哥弟情 女装,,,,,https://shop129101027.taobao.com,,,5192.00,广西,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
1454,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao豪嘉企业店"，"点我对话"),豪嘉企业店,u[3656881694],,,,,https://shop239685774.taobao.com,,,226.76,广西,秋冬女装,,4.57944,-4.50%,4.60563,-4.75%,4.65728分,-3.81%,,,,,,,,,,
